timestamp,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1674111221.14442801,58828724,0.0,0.0,0.0,0.13395263254642487,0.0,-0.24031409621238708,-2.5300000000000002,nan,0.0,0.009685883298516273,0,0
1674111221.24248004,58926776,0.0,0.0,0.0,0.13395263254642487,0.0,-0.21871528029441833,-2.41,nan,0.0,0.031284697353839874,0,15
1674111221.34248614,59026782,0.0,0.0,0.0,0.13395263254642487,0.0,-0.1988111436367035,-2.48,nan,0.0,0.05118883401155472,0,15
1674111221.44244123,59126737,0.0,0.0,0.0,0.13395263254642487,0.0,-0.18272481858730316,-2.8000000000000003,nan,0.0,0.06727517396211624,0,15
1674111221.54246616,59226762,0.0,0.0,0.0,0.13395263254642487,0.0,-0.16845737397670746,-2.62,nan,0.0,0.08154261857271194,0,15
1674111221.64256215,59326858,0.0,0.0,0.0,0.13395263254642487,0.0,-0.15754948556423187,-2.67,nan,0.0,0.09245050698518753,0,15
1674111221.74250722,59426803,0.0,0.0,0.0,0.13395263254642487,0.0,-0.14715205132961273,-2.87,nan,0.0,0.10263431817293167,0,14
1674111221.84245515,59526751,0.0,0.0,0.0,0.13395263254642487,0.0,-0.14042197167873383,-2.72,nan,0.0,0.1092156246304512,0,14
1674111221.94243813,59626734,0.0,0.0,0.0,0.13395263254642487,0.0,-0.13413654267787933,-2.57,nan,0.0,0.1155010536313057,0,14
1674111222.04250813,59726804,0.0,0.0,0.0,0.13395263254642487,0.0,-0.13008080422878265,-2.5,nan,0.0,0.11955679208040237,0,13
1674111222.14251113,59826807,0.0,0.0,0.0,0.13395263254642487,0.0,-0.12510715425014496,-2.45,nan,0.0,0.1241070106625557,0,13
1674111222.24250102,59926797,0.0,0.0,0.0,0.13395263254642487,0.0,-0.12381158769130707,-2.52,nan,0.0,0.1251775175333023,0,12
1674111222.34250212,60026798,0.0,0.0,0.0,0.13395263254642487,0.0,-0.12222062051296234,-2.63,nan,0.0,0.12676848471164703,0,12
1674111222.44248414,60126780,0.0,0.0,0.0,0.13395263254642487,0.0,-0.12458692491054535,-2.79,nan,0.0,0.12440218031406403,0,11
1674111222.54251313,60226809,0.0,0.0,0.0,0.13395263254642487,0.0,-0.12703333795070648,-2.75,nan,0.0,0.1219557598233223,0,10
1674111222.64247918,60326775,0.0,0.0,0.0,0.13395263254642487,0.0,-0.13188301026821136,-2.73,nan,0.0,0.11689437180757523,0,10
1674111222.74251509,60426811,0.0,0.0,0.0,0.13395263254642487,0.0,-0.135567769408226,-2.45,nan,0.0,0.11320961266756058,0,9
1674111222.84249902,60526795,0.0,0.0,0.0,0.13395263254642487,0.0,-0.13875757157802582,-2.54,nan,0.0,0.11001981049776077,0,9
1674111222.94249821,60626794,0.0,0.0,0.0,0.13395263254642487,0.0,-0.13958846032619476,-2.63,nan,0.0,0.10918892174959183,0,8
1674111223.04244614,60726742,0.0,0.0,0.0,0.13395263254642487,0.0,-0.14134250581264496,-2.82,nan,0.0,0.10722316056489944,0,8
1674111223.14246202,60826758,0.0,0.0,0.0,0.13395263254642487,0.0,-0.1423545926809311,-2.34,nan,0.0,0.10621107369661331,0,7
1674111223.24252319,60926819,0.0,0.0,0.0,0.13395263254642487,0.0,-0.14549003541469574,-2.48,nan,0.0,0.10292495042085648,0,7
1674111223.34251118,61026807,0.0,0.0,0.0,0.13395263254642487,0.0,-0.147298201918602,-2.63,nan,0.0,0.10111678391695023,0,6
1674111223.44250703,61126803,0.0,0.0,0.0,0.13395263254642487,0.0,-0.14869175851345062,-2.5100000000000002,nan,0.0,0.09972322732210159,0,6
1674111223.54247403,61226770,0.0,0.0,0.0,0.13395263254642487,0.0,-0.14826761186122894,-2.35,nan,0.0,0.10014737397432327,0,5
1674111223.64247799,61326774,0.0,0.0,0.0,0.13395263254642487,0.0,-0.1467507928609848,-2.54,nan,0.0,0.10166419297456741,0,5
1674111223.74247718,61426773,0.0,0.0,0.0,0.13395263254642487,0.0,-0.14375506341457367,-2.49,nan,0.0,0.10465992242097855,0,5
1674111223.84251118,61526807,0.0,0.0,0.0,0.13395263254642487,0.0,-0.14130054414272308,-2.31,nan,0.0,0.10669101029634476,0,5
1674111223.94247913,61626775,0.0,0.0,0.0,0.13395263254642487,0.0,-0.13748346269130707,-2.69,nan,0.0,0.1102830246090889,0,4
1674111224.04250717,61726803,0.0,0.0,0.0,0.13395263254642487,0.0,-0.1353529542684555,-2.74,nan,0.0,0.11241353303194046,0,4
1674111224.14249921,61826795,0.0,0.0,0.0,0.13395263254642487,0.0,-0.13363252580165863,-2.7600000000000002,nan,0.0,0.11392224580049515,0,4
1674111224.24248815,61926784,0.0,0.0,0.0,0.13395263254642487,0.0,-0.1307440847158432,-2.62,nan,0.0,0.11666000634431839,0,4
1674111224.34255815,62026854,0.0,0.0,0.0,0.13395263254642487,0.0,-0.12679706513881683,-2.54,nan,0.0,0.12060702592134476,0,3
1674111224.44250417,62126800,0.0,0.0,0.0,0.13395263254642487,0.0,-0.12305246293544769,-2.57,nan,0.0,0.12392820417881012,0,4
1674111224.54243803,62226734,0.0,0.0,0.0,0.13395263254642487,0.0,-0.11878548562526703,-2.5300000000000002,nan,0.0,0.12819518148899078,0,3
1674111224.64243507,62326731,0.0,0.0,0.0,0.13395263254642487,0.0,-0.11425291001796722,-2.49,nan,0.0,0.1325141340494156,0,3
1674111224.74247122,62426767,0.0,0.0,0.0,0.13395263254642487,0.0,-0.10984502732753754,-2.47,nan,0.0,0.13692201673984528,0,3
